entity,year,plastic_production,ocean_pollution_share,code,recycled_share,incinerated_share,mismanaged_share,landfilled_share,mismanaged_per_capita,risk_score,risk_category
Nicaragua,2019,,0.0018467209084153822,NIC,0.4899162842130613,,0.40902492174535693,,0.24359593055265122,12.317372257619732,Low
Nigeria,2019,,0.023496844812677303,NGA,0.4899162842130613,,0.40902492174535693,,0.13947413934357197,11.100941389608623,Low
North America,2019,,0.055549112688814926,UNKNOWN,0.4899162842130613,,0.40902492174535693,,0.07559716460484699,11.10549260987963,Low
North Korea,2019,,6.302801575078763e-05,PRK,0.4899162842130613,,0.40902492174535693,,0.0001413560146041601,7.376933051152208,Low
Norway,2019,,0.0,NOR,0.4899162842130613,,0.40902492174535693,,0.003956476403318468,7.450714338296463,Low
Oceania,2019,,0.004577094606546402,UNKNOWN,0.26934000888717013,11.508256,0.05331997122699541,74.86611,0.04657461724774927,0.020775177155002086,Low
Oman,2019,,1.2605568579511942e-06,OMN,0.4899162842130613,,0.40902492174535693,,0.0035782816406727176,7.443200865317865,Low
Pakistan,2019,,0.0011004691866161995,PAK,0.4899162842130613,,0.40902492174535693,,0.08940220989021264,9.203647775498993,Low
Palau,2019,,8.823922698976635e-06,PLW,0.4899162842130613,,0.40902492174535693,,0.09266916144636818,9.225320996065417,Low
Palestine,2019,,0.00014874611667799246,PSE,0.4899162842130613,,0.40902492174535693,,0.006109701108221968,7.499728677061651,Low
Panama,2019,,0.006601554525799269,PAN,0.4899162842130613,,0.40902492174535693,,0.12308015060642513,10.097250003390565,Low
Papua New Guinea,2019,,0.003856054095986198,PNG,0.4899162842130613,,0.40902492174535693,,0.19590959903705396,11.44401895481062,Low
Peru,2019,,0.0003264851275154763,PER,0.4899162842130613,,0.40902492174535693,,0.062049781525022836,8.62563984583117,Low
Philippines,2019,,0.44922715050627404,PHL,0.4899162842130613,,0.40902492174535693,,0.5355568878471224,36.05180858742351,Low
Poland,2019,,3.6556247653857735e-05,POL,0.4899162842130613,,0.40902492174535693,,0.005323644402293756,7.479519948182123,Low
Portugal,2019,,9.580258048413265e-05,PRT,0.4899162842130613,,0.40902492174535693,,0.0053319748987522165,7.482056411424503,Low
Puerto Rico,2019,,8.949978384771753e-05,PRI,0.4899162842130613,,0.40902492174535693,,0.006302777384528448,7.50122034927457,Low
Qatar,2019,,0.0,QAT,0.4899162842130613,,0.40902492174535693,,0.007743007177388305,7.52644495377786,Low
Reunion,2019,,0.0,REU,0.4899162842130613,,0.40902492174535693,,0.0037312735985435496,7.446210282200965,Low
Romania,2019,,0.0001008448326092557,ROU,0.4899162842130613,,0.40902492174535693,,0.03870996247233746,8.149817852981212,Low
Russia,2019,,0.0006832237060483954,RUS,0.4899162842130613,,0.40902492174535693,,0.03579797938079483,8.114873346087926,Low
Saint Kitts and Nevis,2019,,1.2605568579511942e-06,KNA,0.4899162842130613,,0.40902492174535693,,0.026289546041980416,7.8974261533440195,Low
Saint Lucia,2019,,0.0005659915972457967,LCA,0.4899162842130613,,0.40902492174535693,,0.33610047241285607,14.116233922377045,Low
Saint Martin,2019,,0.0,UNKNOWN,0.4899162842130613,,0.40902492174535693,,0.08601193657783439,9.09182354178678,Low
Saint Vincent and the Grenadines,2019,,0.0001021053894672069,VCT,0.4899162842130613,,0.40902492174535693,,0.1600187505436352,10.576044036681488,Low
Samoa,2019,,0.0,WSM,0.4899162842130613,,0.40902492174535693,,0.12687694495021476,9.909123709234388,Low
Sao Tome and Principe,2019,,9.706314968874298e-05,STP,0.4899162842130613,,0.40902492174535693,,0.1383988060369937,10.143443456957518,Low
Saudi Arabia,2019,,3.78168292051272e-06,SAU,0.4899162842130613,,0.40902492174535693,,0.002973285238936881,7.431201782325651,Low
Senegal,2019,,0.0002130347016333904,SEN,0.4899162842130613,,0.40902492174535693,,0.05792415233531709,8.53858924500177,Low
Seychelles,2019,,0.0,SYC,0.4899162842130613,,0.40902492174535693,,0.004805062693569784,7.467686064101489,Low
Sierra Leone,2019,,0.004568270683847426,SLE,0.4899162842130613,,0.40902492174535693,,0.16795564503818855,10.91342853834776,Low
Singapore,2019,,0.00020673189265031617,SGP,0.4899162842130613,,0.40902492174535693,,0.00607804912310025,7.501415068398111,Low
Sint Maarten,2019,,0.0,UNKNOWN,0.4899162842130613,,0.40902492174535693,,0.08601193657783439,9.09182354178678,Low
Slovakia,2019,,0.0,SVK,0.4899162842130613,,0.40902492174535693,,0.004492511041517304,7.46143503106044,Low
Slovenia,2019,,1.386616247744055e-05,SVN,0.4899162842130613,,0.40902492174535693,,0.005800985306263648,7.488159162854463,Low
Solomon Islands,2019,,0.00012605603150157526,SLB,0.4899162842130613,,0.40902492174535693,,0.07553983838177514,8.887423819125658,Low
Somalia,2019,,2.521126062561526e-06,SOM,0.4899162842130613,,0.40902492174535693,,0.0,7.371685655272596,Low
South Africa,2019,,0.0053775504337440555,ZAF,0.4899162842130613,,0.40902492174535693,,0.1740078420145392,11.066843667870641,Low
South America,2019,,0.06807025859122301,UNKNOWN,0.4899162842130613,,0.40902492174535693,,0.08601193657783439,11.814633885435702,Low
South Korea,2019,,0.0004878368498129582,KOR,0.4899162842130613,,0.40902492174535693,,0.0033747045589374897,7.458592375401361,Low
Spain,2019,,0.00029623167649803374,ESP,0.4899162842130613,,0.40902492174535693,,0.006224657554426379,7.507927228378541,Low
Sri Lanka,2019,,0.012169449563653638,LKA,0.4899162842130613,,0.40902492174535693,,0.10484259973691783,9.955214787514596,Low
Sub-Saharan Africa,2019,,0.0003145098064982921,UNKNOWN,0.13912498685580732,0.5053036,0.9999999999999999,30.167952,0.08601193657783439,30.341569255258538,Low
Sudan,2019,,0.0001336193973426007,SDN,0.4899162842130613,,0.40902492174535693,,0.2625978391670994,12.628886369465784,Low
Suriname,2019,,0.0021139597031005837,SUR,0.4899162842130613,,0.40902492174535693,,0.5677901866264933,18.811946930883984,Low
Sweden,2019,,4.538017035283437e-05,SWE,0.4899162842130613,,0.40902492174535693,,0.0060600627693280455,7.494601272430767,Low
Syria,2019,,5.54646499097622e-05,SYR,0.4899162842130613,,0.40902492174535693,,0.00038393659759910576,7.381482128178465,Low
Taiwan,2019,,0.0006693575435709547,TWN,0.4899162842130613,,0.40902492174535693,,0.004500373755940256,7.488366587091737,Low
Tanzania,2019,,0.007292341597688689,TZA,0.4899162842130613,,0.40902492174535693,,0.4256437150406823,16.176152774951287,Low
Thailand,2019,,0.02874833921491978,THA,0.4899162842130613,,0.40902492174535693,,0.28130630888894376,14.14764455660576,Low
Togo,2019,,0.0005496043087057946,TGO,0.4899162842130613,,0.40902492174535693,,0.21673173031298873,11.728203588838099,Low
Tonga,2019,,0.0,TON,0.4899162842130613,,0.40902492174535693,,0.09208512384344267,9.213287287098945,Low
Trinidad and Tobago,2019,,0.004483813139778172,TTO,0.4899162842130613,,0.40902492174535693,,0.7541979541697008,22.634896419215238,Low
Tunisia,2019,,0.0008672655135222942,TUN,0.4899162842130613,,0.40902492174535693,,0.3561153559258193,14.52858254928737,Low
Turkey,2019,,0.018062569172165532,TUR,0.4899162842130613,,0.40902492174535693,,0.2855226053055412,13.80453968322754,Low
Ukraine,2019,,0.0010828213412182462,UKR,0.4899162842130613,,0.40902492174535693,,0.1287235424365792,9.989368512610408,Low
United Arab Emirates,2019,,1.764784539795327e-05,ARE,0.4899162842130613,,0.40902492174535693,,0.007521096541357242,7.522712654873157,Low
United Kingdom,2019,,0.0008861739281248579,GBR,0.4899162842130613,,0.40902492174535693,,0.006333389465599954,7.533699556667087,Low
United States,2019,,0.0030644221914875214,USA,0.0,19.078592,0.0,72.880005,0.011653845463698312,0.35565379693346716,Low
Uruguay,2019,,0.0012580392259931687,URY,0.4899162842130613,,0.40902492174535693,,0.3848279700421389,15.118465780112597,Low
Venezuela,2019,,0.007548235343612353,VEN,0.4899162842130613,,0.40902492174535693,,0.3386847830861235,14.447209885697058,Low
Vietnam,2019,,0.03557427347876732,VNM,0.4899162842130613,,0.40902492174535693,,0.16591575255429283,12.112870800466643,Low
Western Sahara,2019,,4.790129641539589e-05,ESH,0.4899162842130613,,0.40902492174535693,,0.10164996769361849,9.40650021595908,Low
World,2019,459746020.0,0.0003145098064982921,OWID_WRL,0.5431192836895551,19.048033,0.3147446096116415,49.205143,0.11517003428492788,6.327126529412183,Low
Yemen,2019,,0.0003176612048164997,YEM,0.4899162842130613,,0.40902492174535693,,0.14387627740470724,10.261816806516899,Low
Zimbabwe,2019,,0.0,ZWE,0.4899162842130613,,0.40902492174535693,,0.5155352284933207,17.68228938009651,Low
